File Name,Learning Rate (lr),Batch Size (bs),RMSE,MAE
XXX-wsdream-rt-Nov-13-2023_03-25-29-9c8d99.log,0.01,128,1.2813,0.3405
XXX-wsdream-rt-Nov-14-2023_01-13-44-20d95e.log,0.005,1024,1.2988,0.3488
XXX-wsdream-rt-Nov-14-2023_01-32-34-c4c622.log,0.005,2048,1.2794,0.3424
XXX-wsdream-rt-Nov-13-2023_07-49-35-6f32e8.log,0.001,128,1.2791,0.3403
XXX-wsdream-rt-Nov-13-2023_05-18-37-a5b0b8.log,0.01,256,1.2856,0.3391
XXX-wsdream-rt-Nov-13-2023_09-12-01-44c9df.log,0.001,256,1.2894,0.3433
XXX-wsdream-rt-Nov-13-2023_09-54-08-7d9c82.log,0.001,512,1.2782,0.3404
XXX-wsdream-rt-Nov-13-2023_06-59-48-25ff47.log,0.01,1024,1.2885,0.339
XXX-wsdream-rt-Nov-12-2023_22-26-25-db5951.log,0.1,128,2.0598,0.752
XXX-wsdream-rt-Nov-14-2023_01-55-32-878ecb.log,0.0005,128,1.2797,0.3401
XXX-wsdream-rt-Nov-13-2023_12-21-58-ec534f.log,0.001,2048,1.2686,0.3399
XXX-wsdream-rt-Nov-12-2023_22-54-41-683843.log,0.1,256,2.0603,0.7519
XXX-wsdream-rt-Nov-13-2023_10-40-19-788034.log,0.001,1024,1.2824,0.3428
XXX-wsdream-rt-Nov-14-2023_04-24-06-4d3c10.log,0.0005,1024,1.282,0.3439
XXX-wsdream-rt-Nov-14-2023_00-32-46-7de628.log,0.005,512,1.2867,0.339
XXX-wsdream-rt-Nov-13-2023_21-57-40-fb1818.log,0.005,128,1.2816,0.3397
XXX-wsdream-rt-Nov-13-2023_06-15-55-975286.log,0.01,512,1.2795,0.3396
XXX-wsdream-rt-Nov-13-2023_00-52-56-554e4e.log,0.1,1024,1.2963,0.3448
XXX-wsdream-rt-Nov-13-2023_07-29-27-206432.log,0.01,2048,1.2956,0.3468
XXX-wsdream-rt-Nov-14-2023_04-44-19-cdad46.log,0.0005,2048,1.2671,0.3399
XXX-wsdream-rt-Nov-13-2023_02-24-51-09eb9d.log,0.1,2048,1.2848,0.3471
XXX-wsdream-rt-Nov-14-2023_03-56-53-bf6f86.log,0.0005,512,1.2729,0.3406
XXX-wsdream-rt-Nov-13-2023_23-38-25-2ec8a9.log,0.005,256,1.2909,0.3421
XXX-wsdream-rt-Nov-14-2023_03-16-07-700fa9.log,0.0005,256,1.28,0.3425
XXX-wsdream-rt-Nov-12-2023_23-18-30-e7bf67.log,0.1,512,1.2997,0.351
